experiment_name,condition,round,num_seeds,cooperation_rate_mean,cooperation_rate_ci95,defection_rate_mean,defection_rate_ci95,avg_reputation_mean,avg_reputation_ci95,reputation_variance_mean,reputation_variance_ci95,avg_temperature_mean,avg_temperature_ci95,avg_payoff_mean,avg_payoff_ci95,social_welfare_mean,social_welfare_ci95,action_entropy_mean,action_entropy_ci95
test_minimal,reputation_piecewise,231,5,0.72,0.09602,0.28,0.09602,0.582375,0.025307,0.030077,0.014229,0.432,0.060484,2.72,0.09602,27.2,0.9602,0.566138,0.120449
test_minimal,reputation_piecewise,232,5,0.82,0.130012,0.18,0.130012,0.597852,0.046028,0.025363,0.007696,0.4162,0.038068,2.78,0.199882,27.8,1.998816,0.39978,0.223607
test_minimal,reputation_piecewise,233,5,0.76,0.099941,0.24,0.099941,0.595581,0.04178,0.022945,0.006031,0.4484,0.057246,2.76,0.099941,27.6,0.999408,0.521953,0.116295
test_minimal,reputation_piecewise,234,5,0.68,0.09602,0.32,0.09602,0.577304,0.051356,0.026934,0.008916,0.444,0.033863,2.64,0.170869,26.4,1.708688,0.605229,0.060114
test_minimal,reputation_piecewise,235,5,0.76,0.099941,0.24,0.099941,0.580585,0.050156,0.027095,0.010592,0.4418,0.053059,2.72,0.168606,27.2,1.686056,0.521953,0.116295
test_minimal,reputation_piecewise,236,5,0.84,0.099941,0.16,0.099941,0.601656,0.044416,0.025352,0.007353,0.4388,0.030713,2.84,0.099941,28.4,0.999408,0.38735,0.209929
test_minimal,reputation_piecewise,237,5,0.84,0.159231,0.16,0.159231,0.621825,0.070832,0.02543,0.010384,0.4508,0.036153,2.76,0.252528,27.6,2.525283,0.321792,0.282005
test_minimal,reputation_piecewise,238,5,0.72,0.114287,0.28,0.114287,0.606113,0.033516,0.027732,0.007009,0.4926,0.081914,2.6,0.205567,26.0,2.055665,0.556475,0.129127
test_minimal,reputation_piecewise,239,5,0.82,0.09602,0.18,0.09602,0.615517,0.017687,0.021288,0.009886,0.4888,0.035036,2.78,0.1568,27.8,1.568,0.439396,0.137204
test_minimal,reputation_piecewise,240,5,0.84,0.0784,0.16,0.0784,0.629612,0.028112,0.018798,0.007906,0.4484,0.044179,2.84,0.0784,28.4,0.784,0.417303,0.11586
test_minimal,reputation_piecewise,241,5,0.88,0.09602,0.12,0.09602,0.652029,0.044201,0.016153,0.003303,0.452,0.025291,2.84,0.170869,28.4,1.708688,0.317223,0.189544
test_minimal,reputation_piecewise,242,5,0.78,0.073336,0.22,0.073336,0.64493,0.027939,0.017447,0.003386,0.4994,0.046748,2.78,0.073336,27.8,0.733365,0.509523,0.102526
test_minimal,reputation_piecewise,243,5,0.82,0.114287,0.18,0.114287,0.650081,0.034745,0.018764,0.011054,0.51,0.046999,2.78,0.168606,27.8,1.686056,0.409443,0.225261
test_minimal,reputation_piecewise,244,5,0.8,0.0,0.2,0.0,0.648965,0.029415,0.019553,0.00372,0.5,0.041808,2.76,0.0784,27.6,0.784,0.500402,0.0
test_minimal,reputation_piecewise,245,5,0.84,0.0784,0.16,0.0784,0.657919,0.012113,0.01937,0.007372,0.501,0.053354,2.84,0.0784,28.4,0.784,0.417303,0.11586
test_minimal,reputation_piecewise,246,5,0.76,0.146673,0.24,0.146673,0.645997,0.03664,0.020825,0.008549,0.4824,0.032341,2.72,0.218256,27.2,2.182564,0.490916,0.145606
test_minimal,reputation_piecewise,247,5,0.78,0.114287,0.22,0.114287,0.642342,0.038107,0.024917,0.008875,0.482,0.064158,2.78,0.114287,27.8,1.142867,0.486889,0.140353
test_minimal,reputation_piecewise,248,5,0.82,0.14403,0.18,0.14403,0.648868,0.020416,0.027095,0.017086,0.5004,0.058724,2.74,0.236828,27.4,2.368277,0.386808,0.235752
test_minimal,reputation_piecewise,249,5,0.84,0.0784,0.16,0.0784,0.656317,0.014272,0.021226,0.009324,0.4808,0.036676,2.8,0.151821,28.0,1.518209,0.417303,0.11586
test_minimal,reputation_piecewise,250,5,0.78,0.190029,0.22,0.190029,0.651308,0.055621,0.023654,0.008343,0.489,0.053802,2.7,0.284031,27.0,2.84031,0.403265,0.252392
test_minimal,reputation_piecewise,251,5,0.82,0.09602,0.18,0.09602,0.653649,0.053187,0.018545,0.007251,0.4844,0.048323,2.82,0.09602,28.2,0.9602,0.422414,0.211187
test_minimal,reputation_piecewise,252,5,0.78,0.09602,0.22,0.09602,0.648574,0.04124,0.023625,0.009483,0.507,0.064754,2.74,0.170869,27.4,1.708688,0.49986,0.107826
test_minimal,reputation_piecewise,253,5,0.82,0.114287,0.18,0.114287,0.651978,0.056975,0.018637,0.006063,0.4998,0.066413,2.74,0.201794,27.4,2.017944,0.409443,0.225261
